Fx,Fy,Fz,Tx,Ty,Tz,Interval,Failure
-43,60,-669,273,186,9,8,obstruction
15,-3,51,0,17,-2,5,collision
-3,5,49,-25,-3,-2,7,obstruction
0,-5,60,0,1,0,7,normal
0,-3,61,0,0,0,8,normal
-1,-1,63,-2,-1,0,3,normal
3,-9,67,26,3,0,7,obstruction
-8,11,68,-17,-8,6,4,collision
61,24,-386,-397,-30,-61,1,obstruction
-2,2,61,-9,-5,-1,9,normal
-2,2,58,-10,-5,1,7,normal
-2,4,59,-16,-6,-1,15,obstruction
-1,3,53,-12,-2,1,5,normal
-1,0,64,-5,0,-1,15,normal
1,0,70,-5,1,-1,3,normal
10,-53,-595,-425,-63,3,12,obstruction
2,1,51,-2,8,1,4,fr_collision
-254,219,-1428,308,-20,-51,1,obstruction
-1,0,60,-6,-3,0,2,normal
-1,1,57,-12,-5,-1,6,normal
8,7,58,-11,12,2,8,collision
-249,192,-1266,290,-89,-67,7,obstruction
-4,-2,38,14,-9,-3,4,fr_collision
-1,1,66,-7,-3,-1,12,normal
3,-16,54,12,2,1,4,collision
-11,38,-364,207,62,4,3,obstruction
1,-3,38,-18,2,-1,11,obstruction
-1,1,60,-4,-1,0,2,fr_collision
49,37,-328,-395,-42,-58,12,obstruction
-12,50,-304,65,132,16,11,obstruction
-1,1,65,-2,-3,0,14,collision
5,8,-343,-312,-117,-9,15,obstruction
-2,3,57,-15,-6,-1,10,normal
-26,-15,-138,151,-14,-16,13,fr_collision
-1,3,57,-11,-4,0,7,normal
16,20,-132,-42,36,3,12,fr_collision
-21,137,-878,-419,-109,-15,7,obstruction
32,7,47,-32,59,3,2,collision
-11,39,-142,-148,-54,-3,3,fr_collision
-1,-1,46,-13,-11,1,5,fr_collision
8,-46,100,52,-6,-9,4,obstruction
-10,40,-136,-145,-51,-3,2,fr_collision
0,-1,52,-7,-4,-1,4,normal
-75,58,-305,-403,-294,48,3,obstruction
-10,22,-4,-22,-9,-2,2,obstruction
-1,3,-457,-106,-44,-9,11,obstruction
0,6,-1368,-190,-80,-24,14,obstruction
-1,-3,59,-3,-7,-1,11,collision
13,-13,56,7,17,-2,6,obstruction
0,-1,59,-2,0,-1,5,normal
-1,-1,63,-2,-1,0,1,normal
-3,19,-21,12,21,-2,5,obstruction
3,0,66,-2,1,-4,13,collision
324,158,-1108,-133,389,29,6,obstruction
-4,-6,22,36,2,-2,11,fr_collision
-6,1,60,-12,-13,-1,8,obstruction
-6,4,24,6,-9,0,10,fr_collision
-93,76,80,-123,-151,-1,1,collision
6,10,23,-31,17,0,8,fr_collision
-4,-2,-110,-33,-29,-2,8,obstruction
-2,21,58,-37,-4,0,5,obstruction
1,-35,-603,-403,-68,13,8,obstruction
-5,3,26,5,-6,0,6,fr_collision
-1,-1,63,-2,-1,0,4,normal
49,36,-332,-401,-41,-58,10,obstruction
-7,-2,65,3,-8,0,12,collision
9,13,0,-33,22,2,7,fr_collision
0,-3,61,-1,-1,0,10,normal
1,-3,60,-3,0,0,12,collision
-1,-1,63,-2,-1,0,5,normal
-4,-2,44,13,-9,-1,3,fr_collision
0,0,64,-9,-3,0,2,normal
24,53,79,-200,109,2,1,collision
3,-8,58,0,0,-2,12,obstruction
-2,64,-420,167,198,29,15,obstruction
2,3,46,-21,3,-2,8,obstruction
-1,1,57,-9,-4,-1,15,normal
21,10,-157,99,165,16,3,obstruction
-1,-1,64,-3,-1,0,13,normal
-115,-57,-1012,-516,-567,93,13,obstruction
-2,66,-431,169,202,29,10,obstruction
-1,-1,63,-2,-1,0,13,normal
-3,-1,37,-13,-13,2,7,fr_collision
51,37,-348,-411,-43,-61,7,obstruction
-7,-6,-149,-122,-79,4,6,obstruction
-2,2,57,-14,-8,-1,6,normal
-2,1,52,-6,-3,0,4,normal
-2,-1,58,-7,-6,-2,11,obstruction
-3,2,26,7,-3,1,4,fr_collision
-100,67,-524,-545,-400,51,6,obstruction
-1,1,51,-4,-1,-1,3,normal
48,36,-325,-393,-41,-57,13,obstruction
-1,-1,64,-2,0,0,4,normal
-4,2,24,5,-6,1,7,fr_collision
-134,-118,-1194,-183,195,15,4,obstruction
27,-68,-588,-331,-39,17,6,obstruction
0,-3,66,1,4,0,10,normal
4,2,-17,53,38,10,8,obstruction
8,4,56,-11,10,-1,8,obstruction
-3,1,33,-15,-8,-2,3,obstruction
-1,31,-112,24,70,14,4,obstruction
16,19,-117,-183,-46,-19,5,obstruction
8,-3,63,-5,8,-1,7,collision
1,4,22,-37,-19,1,12,fr_collision
-2,2,54,-10,-5,1,14,normal
0,-3,63,-3,-1,0,11,normal
-1,-1,56,-6,-3,0,6,normal
-2,-8,17,-7,-23,6,6,fr_collision
-1,-1,63,-3,-1,0,9,normal
-92,-195,-1274,-672,-468,123,5,obstruction
-2,1,17,-33,-28,2,2,obstruction
20,11,-139,89,154,13,2,obstruction
-2,0,67,0,-7,1,12,collision
-17,1,-217,-245,27,3,7,obstruction
1,-38,38,49,1,-1,5,obstruction
6,-10,4,-13,-9,3,13,fr_collision
-14,-9,-67,-62,-79,9,2,obstruction
-51,23,-1340,-185,1,4,2,obstruction
-37,66,-589,198,166,13,6,obstruction
2,24,-78,24,60,8,3,obstruction
9,8,6,-28,22,1,5,fr_collision
-2,5,57,-13,-6,-1,12,collision
1,-4,59,0,2,0,12,normal
-6,5,22,6,-6,-1,8,fr_collision
3,-17,60,11,3,-2,4,collision
14,14,12,-41,5,-6,13,fr_collision
17,15,-91,-37,36,2,9,fr_collision
11,-58,-601,-429,-64,3,15,obstruction
-2,4,57,-2,0,0,7,collision
-5,1,24,10,-10,-2,8,fr_collision
22,4,62,-12,24,1,3,collision
1,-3,59,-3,-2,0,12,collision
8,-12,-396,-261,-115,1,11,obstruction
58,39,-378,-438,-42,-64,4,obstruction
-92,-195,-1274,-672,-468,123,6,obstruction
-12,3,23,-24,-24,5,13,fr_collision
-11,-6,-124,-103,-84,6,5,obstruction
8,11,24,-31,17,1,2,fr_collision
1,0,60,-8,-2,-1,15,obstruction
-1,-1,63,-3,-1,0,8,normal
-1,0,65,-9,-3,-1,15,normal
1,1,59,-10,-2,0,12,obstruction
-1,0,70,-5,-2,-1,14,normal
-9,9,49,-27,-6,-2,6,obstruction
11,-58,-601,-429,-64,3,11,obstruction
-119,-87,-1262,-599,-646,108,15,obstruction
-3,9,62,-23,-1,-1,3,collision
1,-7,57,0,-2,-1,13,obstruction
-14,18,-21,24,22,8,9,obstruction
3,-5,58,-1,2,0,8,collision
-6,2,57,-13,-13,-1,10,collision
-2,2,63,-8,-5,-1,14,obstruction
-1,2,56,-11,-2,-1,1,normal
-41,32,-101,-206,-152,18,15,fr_collision
-1,2,57,-10,-6,-1,12,collision
-2,3,19,-34,-25,2,14,fr_collision
-10,-8,8,54,-12,-7,14,fr_collision
-29,82,-476,76,150,18,3,obstruction
-3,-1,63,1,-5,-1,11,collision
-8,1,53,-15,-20,5,4,fr_collision
-20,-7,52,9,-41,0,3,collision
-2,67,-434,170,203,30,9,obstruction
9,7,-37,-88,-26,-7,8,obstruction
1,-9,57,3,-1,-1,8,obstruction
-1,-1,63,-3,-1,0,1,normal
-6,7,1,1,-2,1,12,fr_collision
-2,64,-421,168,199,29,14,obstruction
-1,-1,63,-3,0,0,7,normal
0,0,63,-3,-1,0,11,normal
7,-12,65,5,26,1,4,collision
-3,3,10,16,4,-3,15,obstruction
12,15,-103,-172,-47,-13,7,obstruction
-10,6,-225,-258,35,5,10,obstruction
0,4,46,-26,-6,-1,2,fr_collision
48,36,-324,-391,-41,-57,14,obstruction
-2,6,-53,86,18,3,7,obstruction
-8,-2,55,-7,-14,0,10,obstruction
-2,74,-472,177,221,34,2,obstruction
-241,183,-1227,307,-95,-71,15,obstruction
4,3,29,-34,-9,-1,8,fr_collision
20,17,-192,105,178,22,5,obstruction
-2,2,67,-11,-7,0,14,normal
-3,2,53,-16,-9,-1,11,normal
340,160,-1104,-124,433,35,8,obstruction
1,-2,59,-4,-2,-1,14,collision
-30,139,-1235,472,601,39,7,obstruction
-36,-192,-1286,-560,-232,55,5,obstruction
2,3,39,-26,-4,0,4,fr_collision
-35,17,-1029,-232,27,1,1,obstruction
-1,-1,56,-5,-3,0,4,normal
2,-3,70,-3,-1,0,1,collision
-127,83,69,-71,-148,-53,1,collision
-1,0,59,-8,-4,-1,14,normal
81,39,-199,-71,93,-4,11,obstruction
-1,3,43,-21,-8,0,1,fr_collision
-19,-69,-738,-430,-128,23,2,obstruction
47,-343,-1407,-36,-385,86,9,obstruction
-3,70,-451,173,212,31,5,obstruction
-2,2,61,-9,-5,0,5,normal
-2,1,57,-9,-3,0,7,normal
95,-4,38,125,111,-4,1,collision
-1,0,51,-3,-2,-1,2,normal
-1,1,59,-11,-3,-1,10,normal
0,-4,61,-4,-6,0,12,collision
1,0,66,-10,-4,1,11,collision
-9,2,73,-2,-13,0,6,collision
0,1,61,-9,-1,-1,9,normal
-141,139,-1107,336,118,-15,12,obstruction
0,1,68,-8,-2,-1,11,collision
8,12,-8,-35,20,1,8,fr_collision
-1,2,57,-13,-4,0,15,normal
13,13,-49,33,87,12,13,fr_collision
-1,-1,61,-5,-6,-1,9,collision
-5,-36,56,123,-115,-29,2,collision
2,-4,61,-3,1,-1,10,obstruction
-2,-1,58,-6,-4,0,2,obstruction
-3,48,-239,102,70,9,9,obstruction
0,-2,65,-4,-1,0,2,normal
-1,1,56,-11,-6,-1,14,obstruction
-78,-159,-1032,-535,-395,104,5,obstruction
-10,4,60,-13,-16,0,5,collision
-15,77,-359,-259,-76,-7,14,fr_collision
-10,6,68,-9,-15,0,6,collision
3,4,65,-11,1,0,11,collision
-21,134,-800,-407,-105,-14,6,obstruction
-5,0,32,12,-8,-1,5,fr_collision
-1,-4,54,-5,-3,-1,10,obstruction
-1,1,63,-8,-2,0,15,normal
-1,0,56,-7,-3,-1,2,normal
-1,0,60,-8,-5,-1,9,normal
35,20,-650,-97,-427,-13,3,obstruction
-3,0,44,-11,-8,-2,1,obstruction
0,-5,53,10,0,0,3,fr_collision
0,0,58,-8,-4,0,5,collision
-109,110,-968,318,141,-8,11,obstruction
6,4,-49,-57,-27,-2,3,obstruction
-77,175,-1133,383,-14,-25,4,obstruction
7,12,12,-32,24,0,12,fr_collision
1,6,25,-39,-16,0,10,fr_collision
-2,1,53,-12,-7,-1,4,normal
7,9,-22,20,56,9,11,fr_collision
13,-22,-605,-370,-171,-3,13,obstruction
-9,-20,62,19,-16,2,4,collision
2,2,29,3,19,3,7,fr_collision
-1,-1,61,-8,-5,0,7,normal
-5,11,41,-55,-25,0,5,fr_collision
-2,4,60,-10,-5,0,11,normal
-1,-24,62,20,-9,0,4,obstruction
24,-127,-866,-259,-238,25,15,obstruction
-247,186,-1232,285,-83,-63,14,obstruction
3,3,64,-9,4,0,10,collision
3,-5,53,-3,3,1,7,collision
0,-2,66,1,0,0,5,collision
-3,0,59,-9,-6,-1,13,obstruction
0,0,60,-9,-3,0,12,collision
-5,4,61,-14,-10,0,8,collision
-3,81,-508,186,234,35,15,obstruction
-1,-11,53,5,-5,-1,10,obstruction
-1,-1,44,-14,-9,2,6,fr_collision
-6,8,8,2,-2,1,10,fr_collision
2,2,57,-4,9,2,5,fr_collision
-2,65,-429,169,202,29,11,obstruction
-3,6,64,-21,-17,-3,12,collision
-14,-12,-43,93,-11,-11,7,fr_collision
0,-5,59,0,-1,0,6,normal
-16,19,-9,-103,-61,4,3,fr_collision
2,-47,-584,-387,-56,8,13,obstruction
-16,-8,56,19,-54,1,3,collision
0,-4,51,5,-2,0,7,collision
4,-1,59,1,5,0,10,collision
0,8,59,-19,-1,-1,4,collision
-3,43,-146,15,79,20,5,obstruction
16,12,-69,49,107,13,14,fr_collision
-2,65,-426,168,200,28,12,obstruction
41,20,-248,-285,-31,-43,14,obstruction
-29,87,-475,61,150,19,2,obstruction
3,-3,58,-5,1,-2,15,obstruction
4,4,-99,108,53,10,14,obstruction
0,0,60,-8,-1,0,13,collision
8,4,-48,-86,-23,-5,1,obstruction
-25,127,-1409,-359,-124,-14,12,obstruction
2,1,59,-6,3,0,12,collision
4,8,41,-28,10,0,1,fr_collision
-5,-4,57,-4,-11,1,9,collision
-1,2,57,-13,-4,-2,12,normal
0,27,30,-51,-10,-5,5,obstruction
3,-13,54,8,1,-1,7,obstruction
7,-17,61,13,6,0,6,obstruction
0,-1,60,-6,0,-1,15,normal
-3,1,53,-10,-4,0,1,normal
37,-264,-1242,-126,-343,64,8,obstruction
-2,2,61,-13,-5,0,7,normal
6,-8,57,5,4,0,6,collision
-184,177,-1241,311,77,-22,13,obstruction
-95,64,-461,-503,-372,47,5,obstruction
-1,2,65,-11,-4,0,14,collision
-1,-1,59,-9,-4,0,14,normal
17,-49,-768,-396,-215,3,4,obstruction
-2,-6,26,35,5,-2,10,fr_collision
-1,-3,51,-1,-4,0,13,normal
13,-63,-598,-425,-63,2,10,obstruction
13,17,-107,-176,-46,-17,6,obstruction
-1,1,59,-12,-4,-1,11,normal
-1,-1,63,-3,0,0,2,normal
19,15,-177,103,170,21,4,obstruction
0,52,-296,139,95,12,11,obstruction
12,14,-31,-36,29,3,2,fr_collision
1,-9,58,5,-1,-1,8,obstruction
1,-2,64,-7,-2,-1,8,normal
-104,66,-927,400,107,-22,13,obstruction
-1,1,64,-11,-5,-1,6,normal
-1,17,-54,23,46,8,2,obstruction
70,36,-163,-69,77,-8,10,obstruction
-2,3,58,-13,-5,0,14,normal
0,8,57,-19,-6,-1,10,obstruction
-6,-9,6,50,-4,-5,13,fr_collision
0,-3,69,-3,1,0,14,normal
-19,113,-601,-357,-94,-12,3,obstruction
-24,22,-42,-138,-95,-2,9,fr_collision
0,0,63,-11,-6,0,3,normal
-2,2,72,-1,-16,1,3,collision
1,-2,66,-6,-2,-1,4,normal
-45,31,-1395,-151,12,-11,2,obstruction
336,154,-1051,-127,454,37,11,obstruction
-1,1,53,-12,-6,-1,3,normal
10,-11,-477,-306,-134,-1,3,obstruction
-16,-10,-29,74,-22,-10,4,fr_collision
-1,1,64,-5,-6,1,10,collision
-5,-2,60,-4,-11,0,6,collision
11,16,-95,-163,-47,-15,10,obstruction
-4,-3,-189,-46,-36,-3,9,obstruction
50,34,-702,-65,110,6,7,obstruction
2,-2,59,-4,1,-1,9,obstruction
3,45,-257,125,92,15,14,obstruction
-1,-1,61,-3,0,0,10,normal
20,40,-45,-54,24,-4,4,obstruction
4,8,27,-26,13,0,4,fr_collision
-13,81,-404,105,161,25,11,obstruction
4,-44,-654,-476,-88,9,8,obstruction
-7,12,-39,34,4,-1,4,obstruction
-1,2,54,-14,-8,-1,8,normal
-8,7,-218,-252,35,3,15,obstruction
-1,0,57,-4,-4,-1,14,collision
10,-53,-595,-425,-63,3,13,obstruction
-1,2,58,-9,-4,0,6,normal
2,3,-118,-150,-60,-5,13,obstruction
-4,7,13,9,3,2,14,fr_collision
-7,6,57,-16,-13,-1,6,obstruction
1,4,57,-12,2,0,8,collision
-3,-2,72,-7,-5,1,8,collision
-4,-3,66,-2,-8,-1,10,collision
0,0,68,-13,-4,-1,9,normal
-2,1,19,-32,-26,3,15,fr_collision
1,6,59,-11,1,0,9,collision
32,-183,-1053,-219,-290,43,7,obstruction
-3,3,4,16,6,-2,12,obstruction
14,15,-99,-41,32,2,10,fr_collision
-9,13,27,-65,-33,0,9,fr_collision
1,0,59,-7,-1,0,12,obstruction
-6,10,7,-1,-1,1,13,fr_collision
-22,-14,47,8,-31,2,2,collision
-3,-1,57,-5,-7,-1,10,collision
11,-5,55,-1,10,0,4,collision
-1,-2,67,-3,-1,0,13,normal
1,-2,56,-5,-1,0,10,collision
2,-5,66,-3,0,0,13,collision
53,38,-353,-416,-41,-61,6,obstruction
-107,76,-986,408,112,-25,10,obstruction
0,-2,63,-7,3,0,4,collision
60,31,-135,-65,64,-8,9,obstruction
-14,-8,-103,-83,-87,8,4,obstruction
-2,0,54,-9,-5,1,5,normal
1,-2,60,-6,2,0,10,normal
339,158,-1077,-126,437,37,9,obstruction
9,13,61,-18,14,6,5,collision
1,-4,52,0,4,0,14,normal
-1,4,59,-2,-1,1,15,collision
5,-4,64,-4,2,-2,8,collision
6,9,32,-33,1,-2,8,fr_collision
-3,2,56,-9,-4,0,5,normal
-37,59,-127,22,25,33,6,obstruction
-2,1,51,-11,-6,-1,5,normal
6,-12,5,-12,-9,2,11,fr_collision
-250,194,-1278,291,-85,-65,6,obstruction
-3,0,59,-9,-9,-1,9,collision
-1,-1,59,-3,-4,0,15,normal
-1,-4,57,-2,-6,-2,11,collision
-8,3,74,-4,-10,0,7,collision
2,-46,-594,-393,-60,8,12,obstruction
-3,3,58,-15,-7,-1,7,obstruction
2,5,56,-18,0,-1,8,obstruction
-1,-6,43,23,3,-1,7,fr_collision
5,12,59,-16,11,1,5,collision
0,0,64,-9,-1,-1,6,normal
74,61,-1436,-109,156,6,12,obstruction
-1,0,57,-9,-4,3,15,normal
112,-54,85,-77,284,-3,1,collision
-102,67,-939,407,100,-28,12,obstruction
0,0,69,-5,-1,0,3,normal
12,13,-13,-35,29,0,10,fr_collision
-2,67,-437,170,205,30,8,obstruction
-10,11,23,-70,-37,2,12,fr_collision
-1,0,59,-9,-4,0,11,normal
-18,65,-359,57,138,16,13,obstruction
3,-33,32,41,2,-1,1,collision
27,-38,-640,-498,-38,3,7,obstruction
